id,stop_id,route_id,trip_id,headsign,scheduled_arrival,predicted_arrival,delay_seconds,recorded_at
3650696,1_67652,40_100239,40_597756310,Seattle,1778083680000,1778083664000,-16,2026-05-06T16:07:01.101210
3650697,1_67652,40_100239,40_597756310,Seattle,1778083680000,1778083680000,0,2026-05-06T16:07:01.101210
3650698,1_67652,40_100239,40_597750730,Seattle,1778084280000,1778084280000,0,2026-05-06T16:07:01.101210
3650699,1_67652,40_100239,40_597750730,Seattle,1778084280000,1778084280000,0,2026-05-06T16:07:01.101210
3650700,1_67652,40_100239,40_597754900,Seattle,1778085180000,1778085180000,0,2026-05-06T16:07:01.101210
3650701,1_67652,40_100239,40_597756250,Seattle,1778086080000,1778086080000,0,2026-05-06T16:07:01.101210
3650702,1_67652,40_100239,40_597752630,Seattle,1778086980000,1778086980000,0,2026-05-06T16:07:01.101210
3650703,1_68007,40_100239,40_597754890,Bellevue,1778083800000,1778083618000,-182,2026-05-06T16:07:01.191325
3650704,1_68007,1_102756,1_80904665,Spring District Station,1778083080000,1778083838000,758,2026-05-06T16:07:01.191325
3650705,1_68007,40_100239,40_597756260,Bellevue,1778084700000,1778084826000,126,2026-05-06T16:07:01.191325
3650706,1_68007,1_102756,1_80904663,Spring District Station,1778085000000,1778085000000,0,2026-05-06T16:07:01.191325
3650707,1_68007,40_100239,40_597752610,Bellevue,1778085600000,1778085600000,0,2026-05-06T16:07:01.191325
3650708,1_68007,40_100239,40_597752120,Bellevue,1778086500000,1778086500000,0,2026-05-06T16:07:01.191325
3650709,1_68007,40_100239,40_597752120,Bellevue,1778086500000,1778086500000,0,2026-05-06T16:07:01.191325
3650710,1_68007,1_102756,1_80904661,Spring District Station,1778086800000,1778086907000,107,2026-05-06T16:07:01.191325
3650711,1_72984,1_102752,1_816297510,Downtown Redmond Station Overlake Village Station,1778083380000,1778083380000,0,2026-05-06T16:07:01.567850
3650712,1_72984,1_100162,1_720966600,University District Bellevue,1778083080000,1778083459000,379,2026-05-06T16:07:01.567850
3650713,1_72984,1_100136,1_761787360,Kirkland Transit Center Crossroads,1778083500000,1778083559000,59,2026-05-06T16:07:01.567850
3650714,1_72984,1_100136,1_761787940,Kirkland Transit Center Crossroads,1778084400000,1778084400000,0,2026-05-06T16:07:01.567850
3650715,1_72984,1_102552,1_833608290,Bellevue Transit Center Bellevue Redmond Road,1778084280000,1778084414000,134,2026-05-06T16:07:01.567850
3650716,1_72984,1_100162,1_720966410,University District Bellevue,1778084100000,1778084609000,509,2026-05-06T16:07:01.567850
3650717,1_72984,1_100162,1_721030400,University District Bellevue,1778085240000,1778085240000,0,2026-05-06T16:07:01.567850
3650718,1_72984,1_100162,1_721030400,University District Bellevue,1778085240000,1778085291000,51,2026-05-06T16:07:01.567850
3650719,1_72984,1_100136,1_761787590,Kirkland Transit Center Crossroads,1778085300000,1778085300000,0,2026-05-06T16:07:01.567850
3650720,1_72984,1_100136,1_761787590,Kirkland Transit Center Crossroads,1778085300000,1778085300000,0,2026-05-06T16:07:01.567850
3650721,1_72984,1_102752,1_816297530,Downtown Redmond Station Overlake Village Station,1778085780000,1778085656000,-124,2026-05-06T16:07:01.567850
3650722,1_72984,1_102552,1_833608300,Bellevue Transit Center Bellevue Redmond Road,1778086140000,1778086140000,0,2026-05-06T16:07:01.567850
3650723,1_72984,1_100136,1_705514270,Kirkland Transit Center Crossroads,1778086200000,1778086200000,0,2026-05-06T16:07:01.567850
3650724,1_72984,1_100162,1_720967830,University District Bellevue,1778086440000,1778086440000,0,2026-05-06T16:07:01.567850
3650725,1_72984,1_102752,1_816297540,Downtown Redmond Station Overlake Village Station,1778086980000,1778086980000,0,2026-05-06T16:07:01.567850
3650726,1_72984,1_100136,1_761786950,Kirkland Transit Center Crossroads,1778087100000,1778087100000,0,2026-05-06T16:07:01.567850
3650727,1_72983,1_102752,1_833610640,Eastgate P&R,1778083380000,1778083266000,-114,2026-05-06T16:07:01.720492
3650728,1_72983,1_100162,1_585555270,Eastgate,1778082960000,1778083389000,429,2026-05-06T16:07:01.720492
3650729,1_72983,1_102552,1_816295960,South Bellevue Station Eastgate,1778083680000,1778083534000,-146,2026-05-06T16:07:01.720492
3650730,1_72983,1_100162,1_585519140,Issaquah Transit Center,1778083920000,1778084041000,121,2026-05-06T16:07:01.720492
3650731,1_72983,1_100136,1_761786920,Eastgate P&R,1778084040000,1778084184000,144,2026-05-06T16:07:01.720492
3650732,1_72983,1_102752,1_833610650,Eastgate P&R,1778084640000,1778084685000,45,2026-05-06T16:07:01.720492
3650733,1_72983,1_100136,1_761787750,Eastgate P&R,1778084940000,1778084984000,44,2026-05-06T16:07:01.720492
3650734,1_72983,1_102552,1_816295970,South Bellevue Station Eastgate,1778084880000,1778085039000,159,2026-05-06T16:07:01.720492
3650735,1_72983,1_100162,1_569495660,Eastgate,1778084760000,1778085506000,746,2026-05-06T16:07:01.720492
3650736,1_72983,1_100162,1_671213680,Eastgate,1778085480000,1778085583000,103,2026-05-06T16:07:01.720492
3650737,1_72983,1_102752,1_833610660,Eastgate P&R,1778085840000,1778085886000,46,2026-05-06T16:07:01.720492
3650738,1_72983,1_100136,1_761787270,Eastgate P&R,1778085840000,1778086058000,218,2026-05-06T16:07:01.720492
3650739,1_72983,1_102552,1_816295980,South Bellevue Station Eastgate,1778086080000,1778086080000,0,2026-05-06T16:07:01.720492
3650740,1_72983,1_100136,1_761789580,Eastgate P&R,1778086680000,1778086680000,0,2026-05-06T16:07:01.720492
3650741,1_72983,1_102752,1_833610670,Eastgate P&R,1778086980000,1778086980000,0,2026-05-06T16:07:01.720492
3650742,1_72983,1_100162,1_569495530,Eastgate P&R,1778087160000,1778087160000,0,2026-05-06T16:07:01.720492
3650743,1_67652,40_100239,40_597756310,Seattle,1778083680000,1778083664000,-16,2026-05-06T16:08:01.793591
3650744,1_67652,40_100239,40_597750730,Seattle,1778084280000,1778084280000,0,2026-05-06T16:08:01.793591
3650745,1_67652,40_100239,40_597754900,Seattle,1778085180000,1778085180000,0,2026-05-06T16:08:01.793591
3650746,1_67652,40_100239,40_597756250,Seattle,1778086080000,1778086080000,0,2026-05-06T16:08:01.793591
3650747,1_67652,40_100239,40_597752630,Seattle,1778086980000,1778086980000,0,2026-05-06T16:08:01.793591
3650748,1_68007,40_100239,40_597754890,Bellevue,1778083800000,1778083669000,-131,2026-05-06T16:08:01.889856
3650749,1_68007,1_102756,1_80904668,Spring District Station,1778081280000,1778083848000,2568,2026-05-06T16:08:01.889856
3650750,1_68007,1_102756,1_80904665,Spring District Station,1778083080000,1778084463000,1383,2026-05-06T16:08:01.889856
3650751,1_68007,40_100239,40_597756260,Bellevue,1778084700000,1778084739000,39,2026-05-06T16:08:01.889856
3650752,1_68007,1_102756,1_80904663,Spring District Station,1778085000000,1778085402000,402,2026-05-06T16:08:01.889856
3650753,1_68007,40_100239,40_597752610,Bellevue,1778085600000,1778085600000,0,2026-05-06T16:08:01.889856
3650754,1_68007,40_100239,40_597752120,Bellevue,1778086500000,1778086500000,0,2026-05-06T16:08:01.889856
3650755,1_68007,40_100239,40_597752120,Bellevue,1778086500000,1778086500000,0,2026-05-06T16:08:01.889856
3650756,1_68007,1_102756,1_80904661,Spring District Station,1778086800000,1778087822000,1022,2026-05-06T16:08:01.889856
3650757,1_72983,1_102552,1_816295960,South Bellevue Station Eastgate,1778083680000,1778083540000,-140,2026-05-06T16:08:02.064117
3650758,1_72983,1_100162,1_585519140,Issaquah Transit Center,1778083920000,1778083983000,63,2026-05-06T16:08:02.064117
3650759,1_72983,1_100136,1_761786920,Eastgate P&R,1778084040000,1778084184000,144,2026-05-06T16:08:02.064117
3650760,1_72983,1_102752,1_833610650,Eastgate P&R,1778084640000,1778084701000,61,2026-05-06T16:08:02.064117
3650761,1_72983,1_100136,1_761787750,Eastgate P&R,1778084940000,1778084992000,52,2026-05-06T16:08:02.064117
